epoch,accuracy,loss
1,0.989,0.03725980258892308
2,0.9834,0.05326327266339154
3,0.985,0.04812565105459297
4,0.9926,0.023183819262048003
5,0.9911,0.02801294180554943
6,0.989,0.03273060284971124
7,0.9919,0.02723016663280267
8,0.9929,0.020682619636370258
9,0.9945,0.01441363443909954
10,0.9933,0.021453232750819395
11,0.9928,0.020137595548360525
12,0.9922,0.026770276943354102
13,0.9933,0.019332482094566162
14,0.9949,0.017592132186479693
15,0.9937,0.020171794417223235
16,0.9935,0.022289121892567515
17,0.9956,0.014898892904264997
18,0.9938,0.019435467019168214
19,0.9928,0.032537612837586403
20,0.9952,0.015453933376353193
21,0.9947,0.02105526213297112
22,0.9908,0.03470008780053995
23,0.9936,0.023277300695359576
24,0.9952,0.018930031217218098
25,0.9941,0.01840450296209116
26,0.9943,0.021558371439263695
27,0.9948,0.01878268111937566
28,0.995,0.016946337174883287
29,0.9951,0.018287172927443054
30,0.995,0.016916847475168716
31,0.9949,0.02217096335957801
32,0.9955,0.021737813297621766
33,0.9948,0.024118622095552256
34,0.9932,0.029562612134880255
35,0.9952,0.018011002689282775
36,0.9944,0.02318036207006196
37,0.9945,0.02105486361359646
38,0.9931,0.034833973461954465
39,0.9946,0.02310104006182285
40,0.9956,0.0199811066544637
41,0.9945,0.023144875391869307
42,0.9948,0.020744359987755746
43,0.9943,0.023654442181010548
44,0.9954,0.023148310047518526
45,0.9956,0.02131248868485946
46,0.9931,0.027434515618370264
47,0.9964,0.01662196399820782
48,0.9942,0.027629791161791234
49,0.9951,0.022457934783619078
50,0.9955,0.017383796384254545
