epoch,accuracy,loss
1,0.5637,1.6523755219331973
2,0.8221,0.9381529890048276
3,0.9115,0.48830223728896704
4,0.9421,0.28454567487262616
5,0.9544,0.2057484395944389
6,0.9628,0.16310333352607148
7,0.9654,0.1353943939943602
8,0.9701,0.11744910622146099
9,0.9732,0.10653324394670736
10,0.975,0.09399045630399684
11,0.9755,0.08839829641269745
12,0.9775,0.08121202521880341
13,0.9786,0.07761680083141727
14,0.979,0.07288680116907
15,0.9804,0.0687142488217444
16,0.981,0.06600620583364158
17,0.9812,0.06280540967223704
18,0.9809,0.06148802433948916
19,0.9818,0.05890083786880206
20,0.9828,0.05676117751845248
21,0.9834,0.054836763046047156
22,0.9828,0.05626775492887327
23,0.9838,0.05195002983380584
24,0.9835,0.0515225501812603
25,0.984,0.051001362382452106
26,0.9848,0.04913222433956174
27,0.9839,0.049926658496142
28,0.9845,0.0504513656461736
29,0.9847,0.047558528857207766
30,0.9853,0.04645744153850113
31,0.9846,0.04618803992019195
32,0.985,0.046107097049125106
33,0.9841,0.050964770953179854
34,0.9851,0.04441249381623284
35,0.9852,0.045186082986376254
36,0.9857,0.04306126440427367
37,0.9862,0.04344586755229148
38,0.986,0.04287065740209073
39,0.9858,0.045210889386010186
40,0.9864,0.043323894849404465
41,0.9864,0.041352848058928304
42,0.9867,0.04304316601861316
43,0.9866,0.0419844949564594
44,0.9861,0.04302095510914572
45,0.986,0.041091215516482094
46,0.9867,0.041319407229786324
47,0.9862,0.041137856579419804
48,0.9863,0.040668207922376465
49,0.9863,0.04079593981617682
50,0.9866,0.03981029099427389
