2026/1/17

LeNet5: lr = 0.0049
2 {'accuracy': 0.8312, 'loss': 0.6785094001490599}
3 {'accuracy': 0.8734, 'loss': 0.4740255148072911}
4 {'accuracy': 0.8913, 'loss': 0.3935876743523938}
5 {'accuracy': 0.8992, 'loss': 0.3568480252317942}
6 {'accuracy': 0.9069, 'loss': 0.3303075188379379}
7 {'accuracy': 0.9103, 'loss': 0.3129980498984171}
8 {'accuracy': 0.9149, 'loss': 0.29930518109612403}
9 {'accuracy': 0.9162, 'loss': 0.28887320755963114}
10 {'accuracy': 0.9214, 'loss': 0.27722066755934505}
11 {'accuracy': 0.925, 'loss': 0.26791386375096954}
12 {'accuracy': 0.9264, 'loss': 0.2600948372025304}
13 {'accuracy': 0.9293, 'loss': 0.2524860106396732}
14 {'accuracy': 0.9303, 'loss': 0.24486691096595897}
15 {'accuracy': 0.9339, 'loss': 0.2373659331173559}
16 {'accuracy': 0.9345, 'loss': 0.2299436827302928}
17 {'accuracy': 0.9375, 'loss': 0.2230517889141657}
18 {'accuracy': 0.9368, 'loss': 0.22091741851608085}
19 {'accuracy': 0.9389, 'loss': 0.21201820008065195}
20 {'accuracy': 0.9409, 'loss': 0.2077555964570374}
21 {'accuracy': 0.9426, 'loss': 0.2010535681027041}
22 {'accuracy': 0.9439, 'loss': 0.19526162163419708}
23 {'accuracy': 0.9448, 'loss': 0.18979531824648097}
24 {'accuracy': 0.9457, 'loss': 0.1861759251618319}
25 {'accuracy': 0.9468, 'loss': 0.1817027662174812}
26 {'accuracy': 0.9478, 'loss': 0.1765668981257755}
27 {'accuracy': 0.9496, 'loss': 0.17299020796076983}
28 {'accuracy': 0.9493, 'loss': 0.16868907602646263}
29 {'accuracy': 0.9507, 'loss': 0.1664441674740119}
30 {'accuracy': 0.952, 'loss': 0.16137574519813772}
31 {'accuracy': 0.9519, 'loss': 0.16077381389654555}
32 {'accuracy': 0.9546, 'loss': 0.15455133173092725}
33 {'accuracy': 0.954, 'loss': 0.1517694685326379}
34 {'accuracy': 0.9559, 'loss': 0.14920842555754932}
35 {'accuracy': 0.9568, 'loss': 0.14615982056114893}
36 {'accuracy': 0.9577, 'loss': 0.1438434312823021}
37 {'accuracy': 0.9581, 'loss': 0.13991833206378873}
38 {'accuracy': 0.9581, 'loss': 0.13771481981506914}
39 {'accuracy': 0.9606, 'loss': 0.13535295000483702}
40 {'accuracy': 0.9606, 'loss': 0.13221985744875944}
41 {'accuracy': 0.9611, 'loss': 0.13072063477122622}
42 {'accuracy': 0.9622, 'loss': 0.12786766793875462}
43 {'accuracy': 0.9621, 'loss': 0.12820245326306837}
44 {'accuracy': 0.9636, 'loss': 0.1259094614574128}
45 {'accuracy': 0.963, 'loss': 0.12413600511303183}
46 {'accuracy': 0.9641, 'loss': 0.12055870879791487}
47 {'accuracy': 0.9648, 'loss': 0.11820228629935367}
48 {'accuracy': 0.9649, 'loss': 0.11631474825390466}
49 {'accuracy': 0.9649, 'loss': 0.11739713986401275}
50 {'accuracy': 0.9652, 'loss': 0.11397983232041477}

2026/2/28

ResNet: epochs = 10 lr = 0.049
1 {'accuracy': 0.9043, 'loss': 0.3951056224715178}
2 {'accuracy': 0.9637, 'loss': 0.16129506801723675}
3 {'accuracy': 0.9442, 'loss': 0.20834589368147646}
4 {'accuracy': 0.9882, 'loss': 0.05857633701140049}
5 {'accuracy': 0.9865, 'loss': 0.05750961753889729}
6 {'accuracy': 0.9897, 'loss': 0.04287470495446947}
7 {'accuracy': 0.9778, 'loss': 0.07534709465126418}
8 {'accuracy': 0.9806, 'loss': 0.06622881400784489}
9 {'accuracy': 0.9902, 'loss': 0.03410877980170238}
10 {'accuracy': 0.9886, 'loss': 0.037349413031902}
