epoch,accuracy,loss
1,0.8252,0.6423315589974641
2,0.903,0.3329358243970734
3,0.9199,0.26625489794714435
4,0.9414,0.20380947909727218
5,0.9494,0.1692684812969558
6,0.9577,0.1440884380120855
7,0.9617,0.1293701684713411
8,0.9654,0.11650706543053269
9,0.9713,0.0958851524524889
10,0.9734,0.08973659786312681
11,0.9751,0.08363711770778154
12,0.9636,0.11604588286903729
13,0.9786,0.07051771409160036
14,0.9774,0.07075157946948508
15,0.9789,0.06825358968615164
16,0.9803,0.06321380029293074
17,0.9801,0.06168291827212948
18,0.9745,0.07671074991953815
19,0.981,0.06052461665406954
20,0.9797,0.06000122480660938
21,0.9823,0.05187222611746353
22,0.9844,0.050828451613093295
23,0.9846,0.04987560700444255
24,0.9834,0.04966550277602402
25,0.985,0.047994644457109534
26,0.985,0.04644356030232279
27,0.986,0.044193559463964895
28,0.9839,0.04957767605527962
29,0.9864,0.04260009274253352
30,0.9858,0.043323729961004205
31,0.9852,0.045315631500769345
32,0.9863,0.04325897851569584
33,0.9864,0.04323595089574306
34,0.9862,0.042133667687944784
35,0.9876,0.040898669165031536
36,0.9872,0.04066248299927706
37,0.9879,0.03891954506933912
38,0.9875,0.03872725830398942
39,0.9855,0.04508000100383707
40,0.9857,0.04370540902863856
41,0.987,0.03863928300350983
42,0.9877,0.038031641955956055
43,0.9873,0.03870757732168322
44,0.988,0.036993474000879524
45,0.9884,0.03716142890506067
46,0.9873,0.037780339232902485
47,0.988,0.036236085218898685
48,0.9886,0.035016621496136505
49,0.9888,0.03571899672769971
50,0.9888,0.0370495974773131
