epoch,accuracy,loss
1,0.9605,0.2764785617210303
2,0.9599,0.16966247330805298
3,0.9815,0.08044635559948292
4,0.981,0.07840697470293113
5,0.9861,0.05040656584151872
6,0.9857,0.05320802906670483
7,0.9878,0.04509833001288449
8,0.9823,0.05781829458287662
9,0.9894,0.03442495137973611
10,0.9908,0.03237267452697003
11,0.9842,0.04942333464403963
12,0.9865,0.04333842407087469
13,0.9869,0.042186278281852035
14,0.9916,0.02756612016567308
15,0.9936,0.02385647804328021
16,0.9914,0.028780382588523543
17,0.9883,0.04231170396643815
18,0.9906,0.027428532503085554
19,0.9925,0.02456388756307287
20,0.9935,0.02364850075597353
21,0.9899,0.03173773704062566
22,0.9926,0.02312609554430808
23,0.9929,0.02276731264417113
24,0.9918,0.024298923372333293
25,0.9926,0.023875829678994254
26,0.9942,0.019333412410015877
27,0.993,0.02249344788561427
28,0.994,0.020995836393725258
29,0.9914,0.027707452768742428
30,0.9934,0.020050361739441153
31,0.9879,0.03489504771486553
32,0.9925,0.024391810863892766
33,0.9934,0.021588248117295965
34,0.9939,0.020394413465098998
35,0.9924,0.02351200804816912
36,0.9915,0.027134137309788857
37,0.9943,0.020565832167176848
38,0.994,0.019436007218582223
39,0.9939,0.019255045238696186
40,0.9812,0.056327104274477145
41,0.9925,0.0227032288630711
42,0.9938,0.019632747288243504
43,0.9938,0.019582284082140283
44,0.9938,0.020533767943051763
45,0.9936,0.020688774411436423
46,0.9941,0.01946735787387992
47,0.9942,0.0205600128799123
48,0.9939,0.01944454362884551
49,0.9895,0.03642038516566798
50,0.9935,0.020979848360410332
