epoch,accuracy,loss
1,0.1135,2.2983332743310623
2,0.1135,2.290262044615047
3,0.3501,2.2390145921403435
4,0.7803,0.7066090103167637
5,0.8576,0.4618998268132756
6,0.8931,0.34857183272481723
7,0.9119,0.2952312382329611
8,0.9244,0.2537545308375814
9,0.9255,0.23720857384169747
10,0.9183,0.25522373616695404
11,0.9396,0.19576682153329916
12,0.9425,0.18599625886566226
13,0.9457,0.1745244427465472
14,0.9391,0.195085134997869
15,0.9503,0.16457357292603345
16,0.9536,0.15207067144898234
17,0.9566,0.14575645921953545
18,0.9567,0.14267507259686518
19,0.9579,0.13742607577472546
20,0.9545,0.1535826914122174
21,0.962,0.12441051424374198
22,0.9601,0.12611217087707155
23,0.9635,0.11634711121211931
24,0.9494,0.15054618280564855
25,0.9643,0.11412361581367886
26,0.9622,0.11834657772230638
27,0.9664,0.10705199466342
28,0.9669,0.10667519177722443
29,0.9682,0.10364600487949124
30,0.9576,0.13244822384214183
31,0.968,0.09702827648228557
32,0.9705,0.09284416930271745
33,0.9675,0.10024601242736361
34,0.9704,0.08985646735138265
35,0.9637,0.10210891627887513
36,0.9716,0.09072422426176156
37,0.972,0.08742695195662677
38,0.9721,0.08682931530375365
39,0.9685,0.09587498323340858
40,0.9741,0.086483755792939
41,0.9717,0.08856483355329882
42,0.975,0.08120603992004588
43,0.971,0.08775550523490325
44,0.9759,0.07595344106955929
45,0.9754,0.07761895909214357
46,0.9689,0.09307505408966332
47,0.9782,0.07306251348334418
48,0.9763,0.07510549762318872
49,0.9754,0.0762203332836811
50,0.9762,0.07527754490710883
