epoch,accuracy,loss
1,0.7009,1.614675896182941
2,0.839,0.6704067918145733
3,0.8788,0.46686680705114536
4,0.8927,0.3924900638354812
5,0.9002,0.3537312651136119
6,0.9067,0.33035943063960715
7,0.9129,0.31119778999097786
8,0.9149,0.2984496338209908
9,0.9204,0.2859874450168602
10,0.9224,0.27538899253982646
11,0.9238,0.26657138073781306
12,0.9266,0.25764109740021884
13,0.9292,0.2515158191097865
14,0.9309,0.24398979524470818
15,0.9319,0.23847724529944217
16,0.9356,0.22894047712610596
17,0.9367,0.22298340545077422
18,0.9368,0.21692984777793384
19,0.9386,0.21112667267643817
20,0.9393,0.2062035258859396
21,0.941,0.20021097080568503
22,0.9419,0.19729688845776544
23,0.9446,0.19017997687492685
24,0.945,0.1854671747779628
25,0.9476,0.18052491055101536
26,0.9479,0.1766159141519267
27,0.9484,0.17119394541142663
28,0.9507,0.16815242661269986
29,0.9512,0.16350679098669985
30,0.9517,0.1605778114030814
31,0.9531,0.158218642198451
32,0.9536,0.15435694424127033
33,0.9549,0.14936251585982788
34,0.9562,0.14717375790362192
35,0.9564,0.1447200532913635
36,0.9578,0.14119053564247955
37,0.9585,0.1395824571395186
38,0.959,0.13576252443365944
39,0.9598,0.13281228108729004
40,0.9613,0.1310801899555928
41,0.9605,0.12867164026032302
42,0.9619,0.12618593349355825
43,0.9621,0.12413526177005901
44,0.9636,0.12216590371080763
45,0.9641,0.11987132966373068
46,0.9643,0.11924435733595068
47,0.9653,0.11685547593292916
48,0.9659,0.11410071987178248
49,0.9661,0.11274091991637449
50,0.9671,0.11145546827331826
